來源檔,階段,清洗規則,實作位置,實測效果
（全部 8 份）,讀取,UTF-8 BOM 剝離（以 utf-8-sig 開檔）,src/ingest/validate.py:read_csv,不剝除的話第一個欄名會帶不可見字元，必要欄位比對直接失敗
（全部 8 份）,讀取,必要欄位齊備檢查,src/ingest/validate.py:require_columns,每份檔案各有一組 *_REQUIRED 欄位清單，缺欄即中止建庫
（全部 8 份）,讀取,逐欄位前後空白修剪,src/ingest/build_db.py:_text,防禦性規則；本快照實測無前後空白
（全部 8 份）,封存,以 SHA-256 內容定址封存,src/ingest/fetch.py:download_datasets,相同內容不重複存檔；來源、位元組、checksum 記入 data/raw/manifest.json
units.csv,驗證,"(電廠名稱, 機組名稱) 複合鍵唯一性斷言",src/ingest/validate.py:_assert_unique,175 組全部唯一，重複 0 筆
units.csv,驗證,裝置容量須為有限數值且大於 0,src/ingest/validate.py:parse_number,"175 列全數通過，最小 110 瓩、最大 892,600 瓩，合計 29,629,241 瓩"
units.csv,轉換,商轉日期雙精度解析：6 碼當年月（補當月 1 日）、8 碼當年月日,src/ingest/validate.py:parse_unit_date,123 列日精度、52 列月精度；原值與精度另存 commercial_date_raw / commercial_date_precision，避免月精度被誤讀成確切日期
units.csv,彙總,175 台機組依電廠名稱收斂成 22 筆電廠,src/ingest/build_db.py:_insert_plants_and_units,地址三欄無分隔串接；多燃料電廠以 | 併列（台中＝煤|輕柴油等 4 廠）
units.csv,對齊,B 欄位對機組的 43 條規則表，逐欄明寫不做前綴猜測,taipower_align/align.py:RULES,64 欄中 43 欄有主檔、21 欄無主檔；175 台機組 100% 被涵蓋
units.csv,檢查,容量比須落在 0.80–1.06，逾界必須附人工備註,src/align/crosswalk.py:validate_crosswalk,43 列中 11 列逾界，但 11 列都有備註，因此 issues 為空
daily.csv,轉換,寬表轉長表,taipower_align/final.py,"577 天 × 64 欄 → 36,928 列"
daily.csv,轉換,裝置容量 瓩→萬瓩，使與每日出力同單位,taipower_align/align.py,"29,629,241 瓩 → 2,962.92 萬瓩；換算後才能算容量比"
daily.csv,分類,B 欄位分成單機／多機彙總／殘差桶三種粒度,src/align/grain.py:classify_grain,58 個單廠欄位、6 個共用彙總欄（離島、其他小水力、氣渦輪、汽電共生、風力發電、太陽能發電）
outage.csv,對齊,機組名稱正規化（全形＃→#、～→~、去除所有空白）後比對主檔,src/align/naming.py:normalize_name + outage_unit_candidates,138 筆中 125 筆對上（90.58%）；configs/outage_overrides.yaml 為空，代表全部由規則達成、0 筆人工裁決
outage.csv,保留,起訖顛倒的列保留原值並標記，不自行猜測正確年份,src/ingest/build_db.py:_insert_outages,1 列標 date_status=invalid_range（開始 2027-12-20 晚於結束 2027-02-23，相差 -300 天）
outage.csv,保留,未對齊列保留原始機組名，unit_id 留 NULL,src/ingest/build_db.py:_insert_outages,13 筆只確認到電廠、未確認機組；名單留在 reports/outage_unmatched.txt
generation_cost.csv,解析,依 CSV 縮排層級判定葉節點與彙總列,src/ingest/validate.py:parse_generation_cost_rows,26 個標籤中 7 個是彙總（火力發電、再生能源發電等），21 筆（29.2%）是彙總資料
generation_cost.csv,正規化,標籤的半形與全形空白一律剝除,src/ingest/validate.py:parse_generation_cost_rows,26 個標籤中 23 個帶空白縮排；「燃  油」正規化為「燃油」
generation_cost.csv,轉置,寬表（3 個年度欄）轉長表,src/ingest/build_db.py:_insert_generation_costs,26 列 × 3 年 → fact_generation_cost 72 列
