類別,對象,說明,具體數字,目前怎麼處理
資料陷阱,re_sites.csv,小計列混在明細裡,"直接加總 97 列得 1,514,419 瓩，實際明細 757,960 瓩",依發電站編號含「小計」剔除，並把兩個數字都寫進對齊報告
資料陷阱,units_generation.json,小計列混在明細裡,215 列中 10 列是小計，風力那列寫成「小計(註5)」,同上規則剔除；容量對照只取明細與指定的小計
資料陷阱,re_sites.csv / re_generation.csv,兩檔的發電站名稱寫法不同,直接 join 只有 10／65 對上,去掉「發電站」後綴後 62，人工確認 2 組別名後 64，補充檔補 1 站後覆蓋 65
資料陷阱,re_sites.csv,有一筆的備註欄內含換行字元,雲林台西風力發電站的備註是「輪轂高度:64公尺⏎試運轉中(113.10.24併聯)」，檔案 98 個實體行但只有 97 筆紀錄,Python csv 模組處理正確；但用 wc -l 數會多算一筆，清點時務必用 CSV parser
資料陷阱,re_generation.csv,官方有一筆雙語值漏掉 / 分隔符,彰工風力Changgong Wind Power,chinese_part 剝除結尾拉丁字母串，程式自動處理
資料陷阱,re_generation.csv,有一格數值損壞,"澎湖湖西風力 2024-07 =「357,156.00 2」","標為 suspect 不列入加總；經月報驗算確認真值 357,156 後以 overrides 修復"
資料陷阱,re_generation.csv,涵蓋範圍只有台電自建，約全國風光地熱的 3～4%,"自建合計約 758 MW，全國約 19,000 MW",任何查到 v_re_generation 的問題都強制附 RENEWABLE_SELF_BUILT_ONLY 範圍揭露
資料陷阱,units_generation.json,是每 10 分鐘覆寫的快照不是主檔,麥寮機組已從清單消失，民營電廠-燃煤只剩和平 #1／#2,容量來源附快照 SHA-256；麥寮 3 欄維持 NULL 不臆測
資料陷阱,units_generation.json,汽電共生登記的是售予台電的契約容量,容量 62.7 萬瓩，實測最大出力 208.0 萬瓩（332%）,寫入 KNOWN_CAPACITY_GAP，提醒兩個數字口徑不同不可相除
資料陷阱,daily.csv,數值是尖峰時刻的瞬時出力，不是發電量,跨日加總沒有物理意義,SemanticGuard 的 PEAK_SUM_ACROSS_DAYS 直接拒答
資料陷阱,daily.csv,6 座電廠的部分機組被收在共用彙總欄,無法還原完整的電廠級總出力,PLANT_TOTAL_INCOMPLETE 附限制揭露
資料陷阱,outage.csv,官方有 1 列起訖日顛倒,開始 2027-12-20 晚於結束 2027-02-23,保留原值並標 date_status=invalid_range，不猜測正確年份
資料陷阱,units.csv,範圍只有水火力，不含核能,燃料只有 5 種：天然氣、水、煤、輕柴油、重油,核能容量另從資料集 10858 取得
人工裁決,configs/b_column_capacity.yaml,21 個無主檔 B 欄位的容量來源逐欄明寫,18 欄補到容量（核能 6、即時 9、小計 3），3 欄留 NULL,不用字串比對，因為前綴比對會把台中#1 配到台中#10
人工裁決,configs/renewable_overrides.yaml,2 組發電站名稱別名,高訓中心（容量因數 15.0%）、龜山加壓站（12.6%）,以容量因數落在合理範圍為依據，寫在設定檔並附說明
人工裁決,configs/renewable_overrides.yaml,1 筆數值修復,"澎湖湖西風力 2024-07 → 357,156",依據台電 11307 簡明月報表 2-2 的算術驗證
人工裁決,configs/outage_overrides.yaml,目前為空,138 筆歲修 90.58% 全由規則對上,不需要任何人工裁決
人工裁決,taipower_align/plants.csv,電廠主檔補充 12 筆,22 筆官方 + 9 筆民營電廠 + 3 筆核能 = 34 筆,每列帶 source_urls 欄標明來源
人工裁決,taipower_align/re_sites_supplement.csv,場址主檔漏收的發電站,"1 筆：中屯風力 4,800 瓩、8 部機組、112.10.19 起安全性停機",依據台電 11307 簡明月報第 8 頁；查詢結果以 主檔來源=supplement 區分
已知限制,全專案,火力與核能沒有任何發電量資料,只有 v_re_generation 有電量，且僅限台電自建再生能源,要補需接資料集 37331（d006010，10 分鐘粒度、約 200 萬列）
已知限制,v_peak,3 個 B 欄位仍無裝置容量,麥寮#1／#2／#3,即時清單已無該機組，月報也只按能源別彙總
已知限制,units_generation.json,備註欄的 15 種運轉狀態尚未建維度,友善降載減排 6、部分檢修 5、環保停機 4、歲修 2 等,能解釋機組出力長期偏低而歲修表查不到的情形，尚未實作
